SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1700 Anacortes Ave NE,Renton,WA,98059,445000,3,3.0,Highlands,1840,8355,1969,2,242,,Active,April-6-2019 11:00 AM,April-6-2019 01:00 PM,http://www.redfin.com/WA/Renton/1700-Anacortes-Ave-NE-98059/home/412138,NWMLS,1431242,N,Y,47.5070857,-122.1608058
MLS Listing,,Single Family Residential,22203 37th Ave W,Mountlake Terrace,WA,98043,465000,3,1.0,Mountlake Terrace,1278,7841,1962,2,364,,Active,April-6-2019 11:00 AM,April-6-2019 01:00 PM,http://www.redfin.com/WA/Mountlake-Terrace/22203-37th-Ave-W-98043/home/2661184,NWMLS,1433872,N,Y,47.7968759,-122.2833275
MLS Listing,,Townhouse,4834 NE 5th Ct,Renton,WA,98059,475000,3,2.5,Highlands,1420,5810,1999,9,335,263,Active,April-6-2019 11:00 AM,April-6-2019 01:00 PM,http://www.redfin.com/WA/Renton/4834-NE-5th-Ct-98059/home/244011,NWMLS,1425079,N,Y,47.4918335,-122.1540277
MLS Listing,,Single Family Residential,14052 171st Ave SE,Renton,WA,98059,450000,4,1.75,Renton,1530,17226,1968,10,294,,Active,,,http://www.redfin.com/WA/Renton/14052-171st-Ave-SE-98059/home/249171,NWMLS,1429032,N,Y,47.4755035,-122.1122115
MLS Listing,,Single Family Residential,867 Queen Ave NE,Renton,WA,98056,345000,2,1.0,Renton,1030,6500,1954,113,335,,Active,,,http://www.redfin.com/WA/Renton/867-Queen-Ave-NE-98056/home/241083,NWMLS,1393130,N,Y,47.4973791,-122.1706455
MLS Listing,,Single Family Residential,3901 NE 11TH Ct,Renton,WA,98056,399000,3,1.5,Highlands,1140,7798,1963,1,350,,Active,,,http://www.redfin.com/WA/Renton/3901-NE-11th-Ct-98056/home/242096,NWMLS,1434158,N,Y,47.5016573,-122.1665573
MLS Listing,,Single Family Residential,2924 SE 5th St,Renton,WA,98058,419950,3,2.5,Maplewood,1870,6824,1998,1,225,,Active,April-6-2019 01:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Renton/2924-SE-5th-St-98058/home/423123,NWMLS,1435058,N,Y,47.4774214,-122.1795062
MLS Listing,,Single Family Residential,8105 31st Ave SW,Seattle,WA,98126,435000,3,1.0,Westwood,860,5200,1941,1,506,,Active,April-6-2019 01:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Seattle/8105-31st-Ave-SW-98126/home/473567,NWMLS,1434089,N,Y,47.5298402,-122.3728894
MLS Listing,,Single Family Residential,2115 N 133rd St,Seattle,WA,98133,399950,3,2.0,Haller Lake,1030,7255,1949,1,388,,Active,,,http://www.redfin.com/WA/Seattle/2115-N-133rd-St-98133/home/102175,NWMLS,1434693,N,Y,47.7248586,-122.3334597
MLS Listing,,Single Family Residential,4606 222nd St SW,Mountlake Terrace,WA,98043,478000,4,2.0,Mountlake Terrace,1456,7841,1966,2,328,,Active,April-6-2019 12:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Mountlake-Terrace/4606-222nd-St-SW-98043/home/2753494,NWMLS,1433535,N,Y,47.7975512,-122.295796
MLS Listing,,Single Family Residential,23605 86th Ave W,Edmonds,WA,98026,495000,4,2.5,Westgate,1992,8276,1960,2,248,,Active,April-6-2019 01:00 PM,April-6-2019 03:00 PM,http://www.redfin.com/WA/Edmonds/23605-86th-Ave-W-98026/home/2717904,NWMLS,1433737,N,Y,47.7848337,-122.3480581
MLS Listing,,Single Family Residential,1216 220th Pl SW,Bothell,WA,98021,500000,3,1.75,Brier,1502,8712,1988,2,333,,Active,April-6-2019 02:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Bothell/1216-220th-Pl-SW-98021/home/2815220,NWMLS,1430526,N,Y,47.7983208,-122.2497484
MLS Listing,,Single Family Residential,13232 195th Pl SE,Issaquah,WA,98027,499950,3,1.75,May Valley,1620,51400,1977,2,309,,Active,April-6-2019 02:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Issaquah/13232-195th-Pl-SE-98027/home/422384,NWMLS,1433943,N,Y,47.4841472,-122.0779947
MLS Listing,,Mobile/Manufactured Home,19800 127th Ct NE,Bothell,WA,98011,315000,2,2.0,Holly Hills,1680,6413,1981,2,188,25,Active,April-6-2019 01:00 PM,April-6-2019 04:00 PM,http://www.redfin.com/WA/Bothell/19800-127th-Ct-NE-98011/home/59705001,NWMLS,1433149,N,Y,47.7714051,-122.1713216
MLS Listing,,Townhouse,34615 SE Jacobia St,Snoqualmie,WA,98065,449950,3,1.5,Snoqualmie Ridge,1416,179723,2007,2,318,295,Active,April-6-2019 12:00 PM,April-6-2019 03:00 PM,http://www.redfin.com/WA/Snoqualmie/34615-SE-Jacobia-St-98065/home/22406974,NWMLS,1432856,N,Y,47.515359,-121.877728
